1819 Supply at Med Ed Convenience Store,Monday-Friday: 7:30 am - 1:30 pm,Saturday & Sunday: Closed
1819 Supply Newcomb Convenience Store,Monday-Friday: 8:00 am - 11:00 pm,Saturday: 10:00 am - 4:00 pm,Sunday: 3:00 pm - 11:00 pm
Alderman Café,Monday-Thursday: 8:00 am - 11:30 pm,Friday: 8:00 am - 5:00 pm,Saturday: 12:00 pm - 6:00 pm,Sunday: 1:00 pm - 11:30 pm
Argo Tea,Monday-Thursday: 8:00 am - 5:00 pm,Friday: 8:00 am - 3:00 pm,Saturday & Sunday: Closed
C3 at Lambeth Convenience Store,Monday-Friday: 5:00 pm - 12:00 am,Saturday & Sunday: 12:00 pm - 12:00 am
C3 at Runk Convenience Store,Monday-Friday: 8:00 am - 12:00 am,Saturday & Sunday: 11:00 am - 12:00 am
Café McLeod,Monday-Friday: 8:00 am - 2:00 pm,Saturday & Sunday: Closed
The Castle,Monday-Thursday: 8:30 am - 2:00 am,Friday: 8:30 am - 4:00 pm,Saturday: ClosedSunday: 4:00 pm - 2:00 am
Clark Café,Sunday-Thursday: 8:00 am - 11:00 pm,Friday: 8:00 am - 5:00 pm,Saturday: 12:00 pm - 6:00 pm,Sunday: 1:00 pm - 11:00 pm
Crossroads Food Court and Convenience Store,Monday-Thursday: 8:00 am - 2:00 am,Friday: 8:00 am – 2:00 am,Saturday: 11:00 am - 2:00 am,Sunday: 11:00 am - 12:00 am
Domino's Delivery,Monday-Thursday: 11:00 am - 12:00 am,Friday & Saturday: 11:00 am - 1:00 am,Sunday: 11:00 am - 12:00 am
Einstein Bros. Bagels at Rice Hall,Monday-Thursday: 8:00 am - 4:00 pm,Friday: 8:00 am - 3:00 pm,Saturday & Sunday: Closed
Einstein Bros. Bagels at the U.Va. Bookstore,Monday-Friday: 8:30 am - 3:00 pm,Saturday & Sunday: Closed
Fine Arts Café,Monday-Thursday: 9:00 am - 6:30 pm,Friday: 9:00 am - 3:00 pm,Saturday & Sunday: Closed
French House,Monday-Thursday: 5:30 pm - 7:00 pm,Friday-Sunday: Closed
Fresh Food Co.,Monday-Thursday: 7:00 am - 8:00 pm,Friday: 7:00 am - 2:15 pm,Saturday: 10:00 am - 2:00 pm,Sunday: 10:00 am - 8:00 pm
Garden Room Faculty and Staff Dining Room,Monday-Friday: 11:30 am - 2:00 pm,Saturday & Sunday: Closed
In the Nood: Virginia’s Gourmet Noodle Bar,Monday-Thursday: 11:00 am - 8:00 pm,Friday: 11:00 am - 2:00 pm,Saturday & Sunday: Closed
John Paul Jones Athletic Dining Room,Sunday-Thursday: 5:00 pm - 8:00 pm,Friday & Saturday: Closed
Observatory Hill Dining Room,Monday-Friday: 7:00 am - 9:00 pm,Saturday & Sunday: 8:00 am - 9:00 pm
Pavilion XI,Monday-Thursday: 10:30 am - 8:00 pm,Friday: 10:30 am - 10:00 pm,Saturday & Sunday: Closed
Poolside Café,Monday-Thursday: 9:00 am - 11:00 pm,Friday: 9:00 am - 9:00 pm,Saturday & Sunday: Closed
Rising Roll,Monday-Thursday: 8:00 am - 5:00 pm,Friday: 8:00 am - 3:00 pm,Saturday & Sunday: Closed
Runk Dining Room,Monday-Friday: 7:00 am - 8:00 pm,Saturday & Sunday: 10:00 am - 8:00 pm
Shea House,Monday-Thursday: 5:30 pm - 7:00 pm,Friday-Sunday: Closed
Sidley Austin Café,Monday-Thursday: 8:00 am - 3:00 pm,Friday: 8:00 am - 2:00 pm,Saturday-Sunday: Closed
Spanish House,Monday-Thursday: 5:30 pm - 7:00 pm,Friday-Sunday: Closed
Starbucks,Monday-Thursday: 7:30 am - 7:00 pm,Friday: 7:30 am - 5:00 pm,Saturday & Sunday: Closed
Street Eats,Monday-Friday: 11:00 am - 2:00 pm,Saturday & Sunday: Closed
West Range Café,Monday-Thursday: 8:00 am - 8:00 pm,Friday: 8:00 am - 3:00 pm,Saturday & Sunday: Closed
